[2025-02-07 11:07:34,671] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2025-02-07 11:07:34,689] INFO [Controller id=0 epoch=2] Sending LeaderAndIsr request to broker 0 with 52 become-leader and 0 become-follower partitions (state.change.logger)
[2025-02-07 11:07:34,690] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers HashSet(0) for 52 partitions (state.change.logger)
[2025-02-07 11:07:34,813] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 52 partitions (state.change.logger)
[2025-02-07 11:07:34,820] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 2 as part of the become-leader transition for 52 partitions (state.change.logger)
[2025-02-07 11:07:34,824] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,828] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,832] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 1 with partition epoch 0, high watermark 1, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,832] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,835] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,837] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,841] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,845] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,849] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,853] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,857] INFO [Broker id=0] Leader __consumer_offsets-26 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
